职位,薪资,公司,城市,区域,街道,经验,学历,领域,规模,性质
MES项目经理（需出差）,1.5-2万·15薪,能科瑞元,西安,未央,汉城,10年以上,大专,计算机软件,1000-9999人,上市公司
项目经理（公益项目方向）,6000-8000元,北京现代华清材料科技发展有限责任公司,西安,莲湖,环城西路,1-3年,本科,咨询服务,20-99人,民营
医疗项目经理,5000-10000元,西安中研昂石教育科技集团有限公司,西安,碑林,东关南街,3-5年,大专,学校/学历教育,20-99人,国企
项目经理,2-3万,北京理工雷科空天信息技术有限公司,西安,长安,郭杜,3-5年,硕士,电子/半导体/集成电路,100-299人,民营
项目实施经理,6000-8000元,西安西热电站信息技术有限公司,西安,雁塔,曲江,1-3年,本科,电力/水利/热力/燃气,100-299人,国企
软件实施项目经理（西安）,1-1.5万·15薪,北京用尚科技股份有限公司,西安,碑林,柏树林,3-5年,本科,计算机软件,100-299人,股份制企业
项目经理——万科物业,9000-10000元,万物云空间科技服务股份有限公司,西安,雁塔,曲江,经验不限,大专,物业管理,10000人以上,股份制企业
区域运营经理/高校项目,7000-9000元,西安浣熊先生科技有限公司,西安,长安,韦曲,经验不限,大专,计算机硬件,20-99人,民营
系统集成项目经理,6000-8000元,陕西华海信息技术有限公司,西安,雁塔,丈八沟,3-5年,大专,IT服务,100-299人,民营
项目经理,1-1.2万,陕西华诚物业管理有限责任公司,西安,雁塔,长延堡,5-10年,大专,物业管理,500-999人,民营
项目商务经理,8000-11000元,中建科技集团有限公司,西安,未央,张家堡,3-5年,本科,房地产开发,1000-9999人,国企
项目经理（医院机电设备）,1.3-1.6万·13薪,深圳市之平物业发展有限公司,西安,灞桥,新筑,3-5年,大专,物业管理,1000-9999人,民营
高级项目经理,1-1.5万,陕西中科云清科技集团有限公司,西安,雁塔,丈八沟,5-10年,本科,计算机软件,20-99人,股份制企业
项目管理工程师,8000-16000元,新雷能,西安,长安,郭杜,1-3年,本科,电子/半导体/集成电路,500-999人,股份制企业
软件实施项目经理,1.2-1.6万,北京运通恒昌科技集团有限公司,西安,雁塔,丈八沟,3-5年,本科,计算机软件,20-99人,
项目经理,8000-12000元,西安锦天物业管理服务有限公司,西安,雁塔,长延堡,5-10年,大专,物业管理,1000-9999人,民营
写字楼项目经理,7000-8000元,深圳市金地物业管理有限公司西安分公司,西安,曲江新区,曲江,3-5年,本科,物业管理,1000-9999人,民营
项目经理,2-2.1万,贵州南智云谷数字产业发展有限公司,西安,雁塔,大雁塔,10年以上,大专,互联网,20-99人,民营
保安项目经理,6000-7000元,陕西龙瑞祥保安服务有限公司,西安,莲湖,枣园,3-5年,大专,咨询服务,100-299人,民营
基建经理/项目经理,3-3.5万,福州众星创业贸易有限公司,西安,莲湖,北院门,5-10年,本科,零售/批发,1000-9999人,民营
项目经理—万科物业（年前面试，年后入职）,9000-10000元,万物云空间科技服务股份有限公司,西安,雁塔,等驾坡,经验不限,大专,物业管理,10000人以上,股份制企业
数据标注项目经理,8000-10000元·13薪,西安慧澜语言科技有限公司,西安,长安,王寺,3-5年,本科,人工智能,100-299人,民营
软件实施项目经理,8000-13000元,西安博道工业科技有限公司,西安,雁塔,丈八沟,3-5年,本科,IT服务,20-99人,民营
弱电项目经理/系统集成项目经理-西安,7000-14000元,北京国金汇德工程管理有限公司,西安,未央,张家堡,3-5年,本科,咨询服务,300-499人,民营
项目经理（西安）(Q3110),1-2万,中创智维科技,西安,雁塔,丈八沟,5-10年,本科,人工智能,100-299人,民营
信息化项目经理,9000-10000元,陕西顺天工程项目管理有限公司,西安,雁塔,电子城,3-5年,本科,房地产开发,20-99人,民营
会展项目运营经理--双休,6000-10000元,西安金惠国际会展集团有限公司,西安,雁塔,漳浒寨,5-10年,本科,广告/营销,20-99人,民营
商务渠道项目经理,6000-10000元,西安汇沣特企业管理咨询有限公司,西安,碑林,长安路,1-3年,大专,计算机软件,20人以下,民营
物业项目经理,1-1.3万,陕西天昂实业集团有限公司,西安,未央,汉城,5-10年,中专/中技,物业管理,20-99人,民营
GJB5000项目管理,5000-8000元·14薪,西安庆安航空电子有限公司,西安,莲湖,土门,3-5年,本科,电子/半导体/集成电路,100-299人,国企
光伏项目经理,8000-12000元,鼎晟光伏,西安,雁塔,长延堡,1-3年,大专,电力/水利/热力/燃气,20-99人,民营
仓储物流经理,6000-8000元·13薪,中国航空工业供销西北有限公司,西安,新城,长乐中路,1-3年,本科,货运/物流/仓储,20-99人,国企
智能弱电项目经理,9000-13000元,北京易用视点科技有限公司,西安,雁塔,丈八沟,3-5年,大专,计算机软件,100-299人,民营
项目经理/片区负责人,9000-13000元·15薪,北京融创控股集团有限公司,西安,雁塔,长延堡,5-10年,大专,房地产开发,10000人以上,股份制企业
医院产陪项目经理,5000-8000元,北京金萌泰医院管理集团有限公司陕西分公司,西安,莲湖,红庙坡,1-3年,大专,卫生服务,500-999人,民营
项目经理,7000-9000元,西安陕柴重工核应急装备有限公司,西安,雁塔,丈八沟,1-3年,本科,专用设备制造,100-299人,国企
物业项目经理（长安区-医院项目）,1-1.3万·14薪,金科智慧服务集团股份有限公司陕西分公司,西安,长安,郭杜,1-3年,本科,物业管理,1000-9999人,上市公司
GR项目经理,7000-12000元·13薪,江苏博联硕焊接技术有限公司,西安,莲湖,枣园,经验不限,本科,金属制品业,100-299人,民营
物业项目经理,5000-8000元,西安潮兴建筑装饰工程有限责任公司,西安,雁塔,等驾坡,5-10年,大专,装饰装修,20人以下,民营
房建项目经理（非洲）,3.5-6万,尧柏特种水泥集团有限公司,西安,长安,韦曲,5-10年,大专,房地产开发,1000-9999人,上市公司
装修项目经理,8000-15000元,西安晴竣建筑装饰工程有限公司,西安,莲湖,枣园,5-10年,大专,装饰装修,,民营
项目经理（数据中心）,面议,华为技术有限公司,西安,雁塔,丈八沟,5-10年,本科,运营商/增值服务,10000人以上,民营
保安项目经理,1-1.3万,陕西天昂实业集团有限公司,西安,未央,汉城,3-5年,大专,物业管理,20-99人,民营
研发项目管理,8000-15000元·13薪,德国迈隆（西安）电子技术公司,西安,,漳浒寨,3-5年,本科,电子/半导体/集成电路,100-299人,合资
展会项目经理---双休,8000-16000元,西安金惠国际会展集团有限公司,西安,雁塔,漳浒寨,3-5年,本科,广告/营销,20-99人,民营
通信工程机电项目经理（全国出差驻场）,1-2万,鸿基通信股份有限公司江苏分公司,西安,雁塔,电子城,5-10年,本科,通信/网络设备,100-299人,股份制企业
项目经理,1.6-2万,西安易诺敬业电子科技有限责任公司,西安,雁塔,丈八沟,5-10年,本科,电子/半导体/集成电路,100-299人,民营
项目经理,8000-10000元,聚合通信集团有限公司,西安,雁塔,丈八沟,3-5年,大专,通信/网络设备,100-299人,股份制企业
团餐项目经理,8000-9000元,西安旭禾后勤服务管理有限公司,西安,未央,徐家湾,3-5年,大专,餐饮服务,300-499人,
弱电智能化项目经理,7000-10000元,西安连联电子科技有限公司,西安,雁塔,电子城,5-10年,大专,电子/半导体/集成电路,20-99人,民营
项目经理,1.5-2.8万,陕西靖昇电力建设有限公司,西安,,,3-5年,大专,电力/水利/热力/燃气,100-299人,民营
工业园区物业项目经理,8000-9000元,金诺智慧物业服务有限公司,西安,周至,九峰,1-3年,大专,物业管理,100-299人,民营
IT项目管理咨询顾问,1-2万,北京中润长弘管理咨询有限公司,西安,莲湖,北院门,1-3年,本科,咨询服务,20-99人,民营
荣民地产 销售经理（高端大平层项目）,1-1.5万,陕西荣民房地产集团有限公司,西安,雁塔,丈八沟,3-5年,本科,房地产开发,500-999人,民营
信息系统监理师（兼职）,5000-6000元,陕西中安数信项目管理有限公司,西安,雁塔,,1-3年,大专,IT服务,20-99人,民营
项目商务经理,6000-12000元,陕西汇智电力工程有限公司,西安,雁塔,电子城,3-5年,大专,工程技术与设计服务,20-99人,民营
物探项目经理,1-2万,陕西启创人力资源有限公司,西安,雁塔,丈八沟,经验不限,大专,咨询服务,1000-9999人,民营
项目经理(土地报批),7000-14000元,西安迈克信息技术有限公司,西安,雁塔,丈八沟,5-10年,大专,企业服务,20-99人,民营
fpga开发工程师/项目经理,1.2-2万,同方鼎欣科技股份有限公司,西安,雁塔,电子城,3-5年,本科,IT服务,1000-9999人,股份制企业
项目经理,1.5-2万,西安迅湃快速充电技术有限公司,西安,雁塔,丈八沟,3-5年,本科,仪器仪表制造,100-299人,民营
短剧基地管理,5000-7000元,孚希(西安)影视文化有限公司,西安,长安,兴隆,1-3年,本科,广播/影视,20-99人,民营
项目管理,6000-8000元,中国电建集团西北勘测设计研究院有限公司,西安,长安,韦曲,经验不限,本科,电力/水利/热力/燃气,1000-9999人,国企
项目经理——万科物业,9000-10000元,万物云空间科技服务股份有限公司,西安,雁塔,曲江,经验不限,大专,物业管理,10000人以上,股份制企业
实施项目经理,1.2-1.8万,北京大瑞集思技术有限公司,西安,雁塔,小寨路,1-3年,本科,计算机软件,20-99人,民营
物流项目主管,5000-7000元,湖南省弘广物流集团有限公司,西安,未央,三桥,5-10年,大专,货运/物流/仓储,500-999人,民营
项目经理—万科物业 未央,9000-10000元,万物云空间科技服务股份有限公司,西安,未央,未央宫,经验不限,大专,物业管理,10000人以上,股份制企业
智能化项目经理,7000-10000元,陕西中芯高科智能工程有限公司,西安,未央,汉城,5-10年,大专,建筑设备安装,20-99人,民营
项目管理专员,6000-12000元,陕西光电子先导院科技有限公司,西安,长安,五星,5-10年,本科,电子/半导体/集成电路,100-299人,其它
项目管理岗,7000-10000元,西安航空高端密封技术有限公司,西安,长安,韦曲,3-5年,本科,船舶/航空/航天/火车制造,20-99人,民营
安防项目业务经理,4000-7000元,深圳市柯安达科技有限公司,西安,碑林,文艺路,1-3年,大专,快速消费品,100-299人,民营
市政项目经理,1-1.6万,陕西中禾鼎业建设工程有限公司,西安,灞桥,灞桥街道,3-5年,学历不限,工程施工,20-99人,民营
项目经理,9000-13000元,众志恒阳(北京)工业设备有限公司,西安,未央,汉城,3-5年,本科,仪器仪表制造,20-99人,民营
项目经理（业财系统）,8000-15000元·13薪,中邮数智(西安)科技有限公司,西安,雁塔,漳浒寨,5-10年,本科,IT服务,100-299人,国企
EPM,面议,中软国际,西安,碑林,张家村,3-5年,本科,计算机软件,10000人以上,上市公司
项目经理,8000-11000元·13薪,陕西亿通电力建设集团有限公司,西安,未央,汉城,1-3年,大专,电力/水利/热力/燃气,20-99人,民营
海外项目交付经理,8000-10000元,西安天和防务技术股份有限公司,西安,长安,郭杜,无经验,本科,通信/网络设备,500-999人,上市公司
物业项目经理,8000-10000元·14薪,深圳市金地物业管理有限公司西安分公司,西安,雁塔,曲江,3-5年,本科,物业管理,1000-9999人,民营
项目经理,7000-12000元·13薪,西安智源电气有限公司,西安,雁塔,曲江,经验不限,大专,仪器仪表制造,20-99人,国企
项目经理,1.6-3万,北京凯云恒达科技有限公司,西安,雁塔,电子城,3-5年,本科,计算机软件,100-299人,民营
舆情项目经理（客户服务，可远程线上）,1-1.2万,慧科讯业(北京)网络科技有限公司,西安,碑林,太乙路,3-5年,本科,互联网,1000-9999人,外商独资
项目经理,1.2-2万,艾普达技术服务有限公司,西安,未央,徐家湾,5-10年,大专,企业服务,20-99人,民营
项目经理,9000-13000元,西安眼得乐医疗科技有限公司,西安,鄠邑,草堂,1-3年,硕士,医疗设备/器械,100-299人,外商独资
物业项目经理,1-1.3万,北京中铁慧生活科技服务有限公司,西安,灞桥,灞桥街道,5-10年,本科,物业管理,1000-9999人,国企
项目部长,1.1-2万·14薪,西安众诚航空设计有限公司,西安,阎良,振兴,10年以上,本科,工程技术与设计服务,20-99人,
物业项目经理,8000-10000元,金诺智慧物业服务有限公司,西安,长安,韦曲,1-3年,大专,物业管理,100-299人,民营
项目经理（西安）,1.2-2万,北京合众伟奇科技股份有限公司,西安,雁塔,丈八沟,3-5年,本科,计算机软件,1000-9999人,民营
项目经理—万科物业 曲江,9000-10000元,万物云空间科技服务股份有限公司,西安,雁塔,等驾坡,经验不限,大专,物业管理,10000人以上,股份制企业
产业园区项目经理,7000-9000元,金诺智慧物业服务有限公司,西安,阎良,北屯,3-5年,大专,物业管理,100-299人,民营
工程类项目经理（鄠邑）,5000-6000元,珠海葆力物业管理有限公司陕西分公司,西安,鄠邑,甘亭,经验不限,大专,物业管理,1000-9999人,
医院项目经理/保洁经理,7000-11000元·13薪,北京融创控股集团有限公司,西安,雁塔,长延堡,3-5年,大专,房地产开发,10000人以上,股份制企业
项目经理,1.1-1.6万,星展测控科技股份有限公司,西安,未央,草滩,3-5年,本科,通信/网络设备,100-299人,股份制企业
软件开发经理/it项目经理,1.2-1.5万,西安天峻石油工程有限公司,西安,雁塔,丈八沟,3-5年,本科,石油/石化,20-99人,民营
软件项目经理（西安）,9000-15000元,西安绿创电子科技有限公司,西安,高新区,丈八沟,3-5年,本科,计算机软件,100-299人,民营
重大项目商务经理,1-2万,陕西世纪东泰新材料科技有限公司,西安,未央,张家堡,3-5年,本科,房地产开发,100-299人,民营
项目交付经理,1.3-2万·13薪,爱讯达科技(深圳)有限公司,西安,雁塔,丈八沟,10年以上,本科,运营商/增值服务,100-299人,股份制企业
项目经理,1-2万,龙腾半导体,西安,经开区,汉城,5-10年,本科,电子/半导体/集成电路,500-999人,民营
项目经理,1.2-1.5万,北京达美盛软件股份有限公司,西安,未央,张家堡,3-5年,本科,计算机软件,500-999人,民营
工程项目经理,5000-8000元,陕西荣威电子科技有限公司,西安,雁塔,杜城,经验不限,大专,IT服务,20-99人,民营
批量精装修 / 售楼部 / 样板间项目经理,8000-10000元,陕西精睿装饰工程有限公司,西安,未央,谭家,5-10年,大专,房地产开发,20-99人,民营
项目经理,1.3-2.5万·13薪,杭州沃镭智能科技股份有限公司,西安,雁塔,丈八沟,5-10年,本科,工业自动化,500-999人,股份制企业
风电项目经理,9000-12000元,陕西龙安精工实业有限公司,西安,长安,郭杜,3-5年,本科,建筑设备安装,20-99人,民营
项目经理,6000-8000元·14薪,上海银轮热交换系统有限公司,西安,高陵,通远,1-3年,大专,汽车零部件,1000-9999人,上市公司
C++项目经理（西安）,1.6-2.2万,深圳市唯特视科技有限公司,西安,灞桥,十里铺,10年以上,本科,计算机软件,20-99人,民营
商城软件项目经理,1.2-2万·13薪,陕西上盛少伯材料科技有限公司,西安,雁塔,等驾坡,1-3年,本科,建材,20-99人,民营
